
        AX        AY        AZ         WX        WY        WZ     AngleX    AngleY    AngleZ
      0.05      0.01      0.15       0.01      0.00     -0.00       2.70    -18.57     -0.46  
      0.05      0.01      0.15      -0.00      0.00     -0.00       2.68    -18.52     -0.46  
      0.05      0.01      0.14      -0.01     -0.00     -0.00       2.56    -18.54     -0.47  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.52    -18.59     -0.47  
      0.05      0.01      0.14       0.01     -0.00     -0.00       2.64    -18.62     -0.48  
      0.05      0.01      0.15       0.00      0.00      0.00       2.71    -18.57     -0.46  
      0.05      0.01      0.15      -0.00      0.00     -0.00       2.63    -18.55     -0.48  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.54    -18.64     -0.47  
      0.05      0.01      0.15       0.00      0.00     -0.00       2.59    -18.63     -0.48  
      0.05      0.01      0.14       0.00      0.00      0.00       2.69    -18.63     -0.47  
      0.05      0.01      0.15      -0.00      0.00     -0.00       2.65    -18.58     -0.48  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.57    -18.64     -0.48  
      0.05      0.01      0.15       0.00     -0.00     -0.00       2.59    -18.66     -0.48  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.70    -18.66     -0.49  
      0.05      0.01      0.14      -0.00      0.00      0.00       2.65    -18.62     -0.46  
      0.05      0.01      0.15      -0.00     -0.00     -0.00       2.59    -18.64     -0.49  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.60    -18.70     -0.47  
      0.05      0.01      0.15       0.00      0.00     -0.00       2.67    -18.67     -0.47  
      0.05      0.01      0.14      -0.00      0.00     -0.00       2.67    -18.67     -0.49  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.57    -18.65     -0.47  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.59    -18.73     -0.46  
      0.05      0.01      0.15       0.00      0.00      0.00       2.65    -18.71     -0.46  
      0.05      0.01      0.14       0.00      0.00      0.00       2.66    -18.70     -0.42  
      0.05      0.01      0.14      -0.00      0.00      0.00       2.56    -18.68     -0.40  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.57    -18.74     -0.40  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.63    -18.76     -0.37  
      0.05      0.01      0.14       0.00      0.00      0.00       2.64    -18.74     -0.37  
      0.05      0.01      0.14      -0.00      0.00      0.00       2.57    -18.71     -0.37  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.56    -18.75     -0.36  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.61    -18.79     -0.34  
      0.05      0.01      0.15       0.00      0.00      0.00       2.61    -18.76     -0.34  
      0.05      0.01      0.14      -0.00      0.00      0.00       2.55    -18.74     -0.31  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.56    -18.78     -0.30  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.59    -18.81     -0.30  
      0.05      0.01      0.15       0.00      0.00     -0.00       2.60    -18.78     -0.31  
      0.05      0.01      0.14      -0.00      0.00     -0.00       2.57    -18.77     -0.31  
      0.05      0.01      0.15      -0.00     -0.00     -0.00       2.57    -18.79     -0.32  
      0.05      0.01      0.14       0.00     -0.00     -0.00       2.59    -18.83     -0.33  
      0.05      0.01      0.14       0.00     -0.00     -0.00       2.61    -18.86     -0.33  
      0.05      0.01      0.14       0.00      0.00      0.00       2.62    -18.84     -0.33  
      0.05      0.01      0.14      -0.00      0.00      0.00       2.59    -18.82     -0.31  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.55    -18.86     -0.29  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.58    -18.87     -0.26  
      0.05      0.01      0.14       0.00      0.00      0.00       2.59    -18.87     -0.23  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.55    -18.85     -0.20  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.51    -18.91     -0.15  
      0.05      0.01      0.14       0.00      0.00      0.00       2.52    -18.90     -0.10  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.53    -18.91     -0.05  
      0.05      0.01      0.14      -0.00      0.00      0.00       2.48    -18.90      0.01  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.44    -18.93      0.06  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.44    -18.95      0.10  
      0.05      0.01      0.14       0.00      0.00      0.00       2.47    -18.94      0.15  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.41    -18.95      0.19  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.38    -18.97      0.21  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.40    -19.00      0.23  
      0.05      0.01      0.14       0.00      0.00      0.00       2.44    -18.96      0.24  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.38    -18.99      0.26  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.32    -19.03      0.30  
      0.05      0.01      0.14       0.00      0.00      0.00       2.34    -19.02      0.34  
      0.05      0.01      0.14       0.00      0.00      0.00       2.39    -19.01      0.40  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.30    -19.06      0.49  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.19    -19.09      0.57  
      0.05      0.01      0.14       0.00      0.00      0.00       2.22    -19.06      0.62  
      0.05      0.01      0.14       0.01     -0.00      0.00       2.31    -19.08      0.70  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.21    -19.14      0.74  
      0.05      0.00      0.14      -0.00      0.00     -0.00       2.13    -19.11      0.74  
      0.05      0.01      0.14       0.00      0.00      0.00       2.19    -19.11      0.75  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.23    -19.18      0.79  
      0.05      0.01      0.14      -0.00      0.00     -0.00       2.18    -19.18      0.77  
      0.05      0.01      0.14       0.00      0.00     -0.00       2.21    -19.14      0.77  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.20    -19.22      0.83  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.15    -19.25      0.84  
      0.05      0.01      0.14       0.00      0.00     -0.00       2.20    -19.20      0.83  
      0.05      0.00      0.14       0.00     -0.00      0.00       2.17    -19.25      0.91  
      0.06      0.01      0.14      -0.00     -0.00      0.00       2.14    -19.33      0.93  
      0.05      0.01      0.14       0.00      0.00      0.00       2.17    -19.26      0.93  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.11    -19.33      1.04  
      0.05      0.01      0.14       0.00     -0.00      0.00       2.12    -19.40      1.04  
      0.05      0.01      0.14       0.00      0.00      0.00       2.13    -19.35      1.07  
      0.05      0.00      0.14      -0.00     -0.00      0.00       2.03    -19.42      1.16  
      0.05      0.01      0.14       0.00     -0.00     -0.00       2.10    -19.47      1.13  
      0.05      0.00      0.14      -0.00      0.00      0.00       2.06    -19.46      1.20  
      0.05      0.01      0.14      -0.00     -0.00      0.00       2.01    -19.51      1.24  
      0.06      0.01      0.14       0.00     -0.00     -0.00       2.09    -19.54      1.19  
      0.05      0.00      0.14      -0.00      0.00      0.01       1.99    -19.56      1.29  
      0.05      0.01      0.14       0.00     -0.00     -0.00       2.03    -19.58      1.25  
      0.06      0.01      0.14       0.00     -0.00      0.00       2.05    -19.63      1.25  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.98    -19.64      1.36  
      0.05      0.01      0.14       0.00     -0.00     -0.00       2.05    -19.67      1.29  
      0.06      0.00      0.14      -0.00     -0.00      0.00       1.97    -19.74      1.37  
      0.05      0.00      0.14       0.00      0.00      0.00       1.97    -19.71      1.41  
      0.06      0.01      0.14       0.00     -0.00     -0.00       2.02    -19.77      1.37  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.94    -19.81      1.47  
      0.05      0.01      0.14       0.00      0.00     -0.00       1.99    -19.80      1.43  
      0.06      0.01      0.14      -0.00     -0.00      0.00       1.96    -19.89      1.46  
      0.05      0.00      0.14       0.00      0.00      0.00       1.96    -19.84      1.49  
      0.06      0.01      0.14       0.00     -0.00      0.00       1.96    -19.94      1.49  
      0.05      0.01      0.14      -0.00      0.00      0.00       1.94    -19.91      1.52  
      0.06      0.00      0.14       0.00     -0.00      0.00       1.94    -19.97      1.54  
      0.05      0.00      0.14      -0.00     -0.00      0.00       1.91    -20.00      1.58  
      0.05      0.01      0.14       0.00      0.00     -0.00       1.93    -19.98      1.56  
      0.06      0.00      0.13       0.00     -0.00      0.00       1.91    -20.08      1.63  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.90    -20.00      1.60  
      0.06      0.01      0.13       0.00     -0.00      0.00       1.91    -20.14      1.63  
      0.05      0.00      0.14      -0.00      0.00      0.00       1.90    -20.04      1.64  
      0.06      0.01      0.13      -0.00     -0.00     -0.00       1.90    -20.17      1.63  
      0.05      0.00      0.14       0.00      0.00      0.00       1.90    -20.13      1.63  
      0.06      0.01      0.14      -0.00      0.00     -0.00       1.90    -20.15      1.63  
      0.06      0.00      0.13       0.00     -0.00      0.00       1.90    -20.24      1.64  
      0.05      0.01      0.14      -0.00      0.00     -0.00       1.91    -20.14      1.60  
      0.06      0.00      0.13       0.00     -0.01      0.00       1.91    -20.29      1.65  
      0.05      0.01      0.14      -0.00      0.01     -0.00       1.90    -20.17      1.60  
      0.06      0.00      0.13       0.00     -0.01      0.00       1.90    -20.32      1.65  
      0.05      0.00      0.14      -0.00      0.01     -0.00       1.90    -20.20      1.63  
      0.06      0.01      0.13       0.00     -0.00      0.00       1.90    -20.32      1.64  
